Seq,Chapter,Source PDF Page,Table Number,Detected Title,Rows,Columns
90,20 Vegetables,137,20-4,"Table 20-4: AvailableN, P and K advice forFrench bean crops (kg/ha)",8,8
91,20 Vegetables,138,20-5,"Table 20-5: AvailableN, P and K advice for beetroot crops (kg/ha)",8,8
92,20 Vegetables,139,20-6,"Table 20-6: AvailableN, P and K advice for brussels sprouts crops (kg/ha)",9,8
93,20 Vegetables,139,20-7,"Table 20-7: AvailableN, P and K advice for broccoli crops (kg/ha)",9,8
94,20 Vegetables,140,20-8,"Table 20-8: AvailableN, P andK advice for spring cabbage crops (kg/ha)",9,8
95,20 Vegetables,140,20-9,"Table 20-9: AvailableN, P and K advice for other cabbage crops (kg/ha)",9,8
96,20 Vegetables,141,20-10,"Table 20-10: AvailableN, P and K advice for winter and spring cauliflower crops (kg/ha)",9,8
97,20 Vegetables,141,20-11,"Table 20-11: AvailableN, P and K advice for summer and autumn cauliflower crops (kg/ha)",9,8
98,20 Vegetables,142,20-12,"Table 20-12-: AvailableN, P and K advice for carrot crops (kg/ha)",8,8
99,20 Vegetables,143,20-13,"Table 20-13: AvailableN, P and K advice for celery crops (kg/ha)",9,8
100,20 Vegetables,144,20-14,"Table 20-14: AvailableN, P and K advice for courgette crops (kg/ha)",8,8
101,20 Vegetables,144,20-15,"Table 20-15: AvailableN, P and K advice for leek crops (kg/ha)",9,8
102,20 Vegetables,145,20-16,"Table 20-16: AvailableN, P and K advice for lettuce crops (kg/ha)",9,8
103,20 Vegetables,145,20-17,"Table 20-17: AvailableN, P and K advice for onion crops (kg/ha)",9,8
104,20 Vegetables,146,20-18,"Table 20-18: AvailableN, P and K advice for scallion crops (kg/ha)",9,8
105,20 Vegetables,146,20-19,"Table 20-19: AvailableN, P and K advice for parsley crops (kg/ha)",9,8
106,20 Vegetables,147,20-20,"Table 20-20: AvailableN, P and K advice for parsnip crops (kg/ha)",9,8
107,20 Vegetables,147,20-21,"Table 20-21: AvailableN, P and K advice for market pea crops (kg/ha)",8,8
108,20 Vegetables,148,,"Table-20-22: AvailableN, P and K advice for rhubarb crops (kg/ha)",9,8
109,20 Vegetables,148,20-23,"Table 20-23: AvailableN, P and K advice for spinach crops (kg/ha)",9,8
110,20 Vegetables,149,,"Table20-24-: AvailableN, P and K advice for swede crops (kg/ha)",9,8
111,20 Vegetables,149,20-25,"Table 20-25: AvailableN, P and K advice for early swede crops (kg/ha)",8,8
112,21 Fruit Crops,150,20-26,Table 20-26: Vegetable crops and the likelihood of response to B on deficient soils,5,2
113,21 Fruit Crops,151,20-27,Table 20-27: Vegetable crops and the likelihood of response to Cu on peat soils,5,2
114,21 Fruit Crops,151,20-28,Table 20-28: Vegetable crops and the likelihood of response to Mn on peat soils,5,2
115,21 Fruit Crops,152,,Detected table 1,4,1
116,21 Fruit Crops,152,20-30,"Table 20-30: Susceptibility of the major vegetable crops to deficiency of Ca, Mg and the main micronutrients",23,8
117,21 Fruit Crops,154,21-1,Table 21-1: Available nitrogen applications for fruit crops (kg/ha),16,4
118,21 Fruit Crops,154,21-2,Table 21-2: Available phosphorus applications for fruit crops (kg/ha),15,6
119,21 Fruit Crops,155,21-3,Table 21-3: Available potassium applications for fruit crops (kg/ha),15,6
120,21 Fruit Crops,157,21-4,Table 21-4: Guidelines for nutrient solution for strawberry production using substrates,15,3
121,22 Energy Crops,162,22-1,Table 22-1:-Typical nutrient offtakes for miscanthus crops yielding between 10 to 15 t/ha dry matter,7,3
122,22 Energy Crops,162,22-2,Table 22-2:-Nitrogen guidance for miscanthus1based on crop removal of 13 t/hadry matter,9,5
123,23-25 Appendices,164,22-3,Table 22-3:- Guidance for willow1based on crop removal of 12 t/hadry matter,9,5
124,23-25 Appendices,165,22-4,Table 22-4:Nutrient guidelines for hemp1crops grown for fibre,9,5
125,23-25 Appendices,167,23-1,Table 23-1:Nutrient concentrations in plants,14,10
126,23-25 Appendices,174,,Livestock Type,28,2
127,23-25 Appendices,175,,Imperial / Traditional,29,5
128,23-25 Appendices,176,,Imperial / Traditional,29,5
129,23-25 Appendices,177,,P to P O 2 5,6,2
130,23-25 Appendices,177,,P O to P 2 5,6,2
131,23-25 Appendices,178,,Sand/gravel,24,10
